alpha,Scientific_name,english_name
PRG,Calamus spp,Porgies
DEP,Dentex gibbosus,Pink dentex
DEL,Dentex macrophthalmus,Large-eye dentex
DEN,Dentex canariensis,Canary dentex
DEC,Dentex dentex,Common dentex
DEA,Dentex angolensis,Angolan dentex
DNC,Dentex congoensis,Congo dentex
DEM,Dentex maroccanus,Morocco dentex
DTT,Dentex tumifrons,Yellowback seabream
DEX,Dentex spp,Dentex nei
BRB,Spondyliosoma cantharus,Black seabream
STJ,Spondyliosoma emarginatum,Steentjie seabream
SBS,Oblada melanura,Saddled seabream
SPH,Archosargus probatocephalus,Sheepshead
AVB,Archosargus rhomboidalis,Western Atlantic seabream
KBR,Argyrops spinifer,King soldier bream
KBB,Argyrops bleekeri,Taiwan tai
SLF,Argyrozona argyrozona,Carpenter seabream
SLD,Cheimerius nufar,Santer seabream
CYM,Cymatoceps nasutus,Black musselcracker
BSC,Pagrus caeruleostictus,Bluespotted seabream
RPG,Pagrus pagrus,Red porgy
REA,Pagrus auriga,Redbanded seabream
GSU,Pagrus auratus,Silver seabream
SBP,Pagrus spp,Pargo breams nei
RER,Petrus rupestris,Red steenbras
OTA,Porcostoma dentata,Dane seabream
PGA,Pterogymnus laniarius,Panga seabream
WSN,Rhabdosargus globiceps,White stumpnose
RSS,Rhabdosargus sarba,Goldlined seabream
ROH,Rhabdosargus holubi,Cape stumpnose
RTH,Rhabdosargus thorpei,Bigeye stumpnose
RXS,Rhabdosargus haffara,Haffara seabream
SDE,Sparodon durbanensis,Musselcracker seabream
SBG,Sparus aurata,Gilthead seabream
BOG,Boops boops,Bogue
DAR,Chrysoblephus cristiceps,Daggerhead seabream
ROM,Chrysoblephus laticeps,Roman seabream
RSN,Chrysoblephus gibbiceps,Red stumpnose seabream
ENG,Chrysoblephus anglicus,Englishman seabream
SLL,Chrysoblephus puniceus,Slinger seabream
RSX,Chrysoblephus spp,Daggerhead breams nei
CWC,Crenidens crenidens,Karanteen seabream
SNW,Lithognathus lithognathus,White steenbras
SSB,Lithognathus mormyrus,Sand steenbras
SBW,Lithognathus aureti,West coast seabream
STW,Lithognathus spp,Steenbrasses nei
HOT,Pachymetopon aeneum,Blue hottentot
YTG,Pachymetopon grande,Bronze seabream
HOB,Pachymetopon blochii,Hottentot seabream
CPP,Pachymetopon spp,Copper breams(=Hottentots) nei
SCM,Polysteganus praeorbitalis,Scotsman seabream
SEV,Polysteganus undulosus,Seventyfour seabream
SBU,Polysteganus coeruleopunctatus,Blueskin seabream
PLY,Polysteganus spp,Polystegan seabreams nei
SLM,Sarpa salpa,Salema
EVD,Evynnis cardinalis,Threadfin porgy
ENJ,Evynnis japonica,Crimson seabream
EVY,Evynnis spp,
SZH,Sparidentex hasta,Sobaity seabream
MLB,Acanthopagrus berda,Goldsilk seabream
AKU,Acanthopagrus australis,Surf bream
AKB,Acanthopagrus butcheri,
MLM,Acanthopagrus schlegeli,Blackhead seabream
YWF,Acanthopagrus latus,Yellowfin seabream
AAB,Acanthopagrus bifasciatus,Twobar seabream
SCP,Stenotomus chrysops,Scup
SOH,Stenotomus caprinus,Longspine porgy
LGO,Lagodon rhomboides,Pinfish
OYE,Polyamblyodon germanum,German seabream
SBX,Sparidae,"Porgies, seabreams nei"
BPI,Spicara maena,Blotched picarel
SPC,Spicara smaris,Picarel
TAC,Spicara melanurus,Blackspot picarel
PIC,Spicara spp,Picarels nei
EHI,Centracanthus cirrus,Curled picarel
CEZ,Centracanthidae,"Picarels, etc. nei"
UPL,Upeneichthys lineatus,Blue-striped mullet
MUR,Mullus surmuletus,Surmullet
MUT,Mullus barbatus,Red mullet
MWU,Mullus argentinae,Argentine goatfish
MUX,Mullus spp,Surmullets(=Red mullets) nei
MUV,Mulloidichthys flavolineatus,Yellowstripe goatfish
YJG,Mulloidichthys vanicolensis,Yellowfin goatfish
RPB,Parupeneus bifasciatus,Doublebar goatfish
RPY,Parupeneus cyclostomus,Gold-saddle goatfish
RPF,Parupeneus forsskali,Red Sea goatfish
RPO,Parupeneus macronema,Long-barbel goatfish
RPK,Parupeneus multifasciatus,Manybar goatfish
RPL,Parupeneus pleurostigma,Sidespot goatfish
RPH,Parupeneus porphyreus,
RFQ,Parupeneus indicus,Indian goatfish
RPX,Parupeneus spp,
UPM,Upeneus moluccensis,Goldband goatfish
UPS,Upeneus sulphureus,Sulphur goatfish
UPU,Upeneus sundaicus,Ochrebanded goatfish
UPT,Upeneus tragula,Freckled goatfish
UPI,Upeneus vittatus,Yellowstriped goatfish
UPP,Upeneus parvus,Dwarf goatfish
UPG,Upeneus arge,Band-tail goatfish
UPH,Upeneus pori,Por's goatfish
GOX,Upeneus spp,Goatfishes
GOA,Pseudupeneus prayensis,West African goatfish
UDU,Pseudupeneus maculatus,Spotted goatfish
MUM,Mullidae,"Goatfishes, red mullets nei"
EHN,Echeneis naucrates,Live sharksucker
HTL,Phtheirichthys lineatus,Slender suckerfish
REY,Remora brachyptera,Spearfish remora
REO,Remora remora,Shark sucker
REM,Remora spp,Shark suckers
RRL,Remorina albescens,White suckerfish
ECN,Echeneidae,"Suckerfishes, remoras nei"
GAJ,Coracinus capensis,Galjoen
COT,Coracinidae,Galjoens nei
TXC,Toxotes chatareus,Spotted archerfish
TXJ,Toxotes jaculatrix,Banded archerfish
TXM,Toxotes microlepis,Smallscale archerfish
MOU,Monodactylus argenteus,Silver moony
HVT,Schuettea scalaripinnis,Eastern pomfred
PQE,Parequula melbournensis,Silverbelly
GEH,Gerres setifer,
GEV,Gerres abbreviatus,Deep-bodied mojarra
GEF,Gerres filamentosus,Whipfin silver-biddy
GET,Gerres poieti,Strongspine silver-biddy
GEN,Gerres cinereus,Yellow fin mojarra
GEJ,Gerres oyena,Common silver-biddy
GEO,Gerres oblongus,Slender silver-biddy
GEZ,Gerres nigri,Guinean striped mojarra
MOJ,Gerres spp,Mojarras(=Silver-biddies) nei
DUT,Diapterus auratus,Irish mojarra
DUX,Diapterus spp,
ECW,Eucinostomus dowii,Dow's mojarra
MFF,Eucinostomus melanopterus,Flagfin mojarra
EDX,Eucinostomus spp,
EGX,Eugerres axillaris,Black axillary mojarra
PJL,Pentaprion longimanus,Longfin mojarra
GDJ,Gerreidae,"Mojarras, etc. nei"
YPU,Atypichthys latus,Eastern footballer
YSC,Bathystethus cultratus,Grey knifefish
GIM,Girella simplicidens,Gulf opal eye
GIY,Girella tricuspidata,Parore
GIQ,Girella nigricans,Opaleye
LAV,Labracoglossa argentiventris,
MDA,Medialuna californiensis,Halfmoon
MIR,Microcanthus strigatus,Stripey
NYO,Neatypus obliquus,Western footballer
OIE,Scorpis aequipinnis,Sea sweep
OIV,Scorpis violacea,Blue maomao
VIX,Vinculum sexfasciatum,Moonlighter
KYC,Kyphosus cinerascens,Blue sea chub
KIN,Kyphosus analogus,Blue-bronze sea chub
KYE,Kyphosus elegans,Cortez sea chub
KYI,Kyphosus incisor,Yellow sea chub
KYS,Kyphosus sectatrix,Bermuda sea chub
KYB,Kyphosus bigibbus,Brown chub
KYV,Kyphosus vaigiensis,Brassy chub
KYP,Kyphosus spp,Kyphosus sea chubs nei
NSH,Neoscorpis lithophilus,Stone-bream
HRZ,Hermosilla azurea,Zebra- perch sea chub
ECO,Sectator ocyurus,Bluestriped chub
KYX,Kyphosidae,Sea chubs nei
RCE,Parapriacanthus elongatus,Slender bullseye
MHD,Pempheris adspersus,
MHL,Pempheris oualensis,Silver sweeper
MHI,Pempheris poeyi,Curved sweeper
MHV,Pempheris vanicolensis,Vanikoro sweeper
SPS,Drepane punctata,Spotted sicklefish
SIC,Drepane africana,African sicklefish
DRL,Drepane longimana,Concertina fish
DRZ,Drepane spp,Sicklefishes nei
MPH,Amphichaetodon howensis,Lord Howe Island butterflyfish
HLJ,Chelmon muelleri,Blackfin coralfish
HNT,Chelmon rostratus,Copperband butterflyfish
HNK,Chelmonops truncatus,Truncate coralfish
CDV,Coradion altivelis,Highfin coralfish
HTJ,Hemitaurichthys polylepis,Pyramid butterflyfish
JON,Johnrandallia nigrirostris,Blacknosed butterflyfish
RCC,Parachaetodon ocellatus,Sixspine butterflyfish
ROD,Prognathodes dichrous,Bicolor butterflyfish
HTP,Chaetodon capistratus,Foureye butterflyfish
HTI,Chaetodon humeralis,Threebanded butterflyfish
HTS,Chaetodon striatus,Banded butterflyfish
HTH,Chaetodon hoefleri,Four-banded butterflyfish
HTE,Chaetodon aureofasciatus,Golden butterflyfish
HNM,Heniochus acuminatus,Pennant coralfish
FGF,Forcipiger flavissimus,Longnose butterfly fish
BUS,Chaetodontidae,Butterflyfishes
EOA,Enoplosus armatus,Old wife
ESQ,Enoplosus spp,Old wife fishes
BLG,Bathyclupea argentea,
CFG,Caristius groenlandicus,
CMZ,Caristius macropus,Manefish
CWN,Caristius spp,Manefishes nei
AFZ,Afronandus sheljuzhkoi,Fourspine leaffish
RIS,Pristolepis fasciata,Malayan leaffish
NAA,Nandus nandus,Gangetic leaffish
OLE,Polycentropsis abbreviata,African leaffish
BDB,Badis badis,Badis
MNN,Monocirrhus polyacanthus,Amazon leaffish
EVI,Evistias acutirostris,Striped boarfish
HIT,Histiopterus typus,Sailfin armourhead
PZH,Parazanclistius hutchinsi,Short boarfish
RIG,Paristiopterus gallipavo,Yellowspotted boarfish
SWH,Paristiopterus labiosus,Giant boarfish
ENV,Pentaceropsis recurvirostris,Longsnout boarfish
ENE,Pentaceros capensis,Cape armourhead
EMV,Pentaceros decacanthus,Bigspined boarfish
EDR,Pseudopentaceros richardsoni,Pelagic armourhead
EDQ,Pseudopentaceros pectoralis,Longfin armorhead
EDJ,Pseudopentaceros wheeleri,Slender armorhead
EDW,Pseudopentaceros spp,Pelagic armourheads nei
ZAL,Zanclistius elevatus,Longfin boarfish
OLF,Oplegnathus fasciatus,
OJX,Oplegnathus spp,
AIE,Alticorpus macrocleithrum,
AGV,Altolamprologus calvus,
AII,Amphilophus citrinellus,Midas cichlid
AKT,Anomalochromis thomasi,
GDS,Apistogrammoides pucallpaensis,
HOK,Archocentrus centrarchus,Flier cichlid
RKC,Aristochromis christyi,
RTT,Asprotilapia leptura,
ULD,Aulonocara auditor,
ULW,Aulonocranus dewindti,
BCK,Baileychromis centropomoides,
BMI,Benthochromis tricoti,
BMP,Biotodoma cupido,Greenstreaked eartheater
BIE,Biotoecus opercularis,
BEJ,Boulengerochromis microlepis,Giant cichlid
BMN,Buccochromis atritaeniatus,
BJC,Bujurquina cordemadi,
LHP,Callochromis macrops,
RCM,Caprichromis liemi,
AQK,Caquetaia kraussii,
DXS,Cardiopharynx schoutedeni,
BJA,Chaetobranchopsis australis,
TBF,Chaetobranchus flavescens,
HNH,Chalinochromis brichardi,
HSE,Champsochromis caeruleus,
HHH,Cheilochromis euchilus,
HCN,Chilochromis duponti,
HHO,Chilotilapia rhoadesii,
HRB,Chromidotilapia batesii,
LRM,Cleithracara maronii,Keyhole cichlid
OPZ,Copadichromis azureus,
OSR,Corematodus shiranus,
TXI,Ctenopharynx intermedius,Blackspot climbing perch
UGL,Cunningtonia longiventralis,
YAF,Cyathopharynx furcifer,Featherfin cichlid
YCW,Cyclopharynx fwae,
YPE,Cyprichromis leptosoma,
YTO,Cyrtocara moorii,
DKF,Danakilia franchettii,
DRM,Dicrossus maculatus,
DMC,Dimidiochromis compressiceps,Malawi eyebiter
DXG,Diplotaxodon greenwoodi,
TLM,Oreochromis mossambicus,Mozambique tilapia
TLN,Oreochromis niloticus,Nile tilapia
OEA,Oreochromis aureus,Blue tilapia
TLL,Oreochromis spilurus,Sabaki tilapia
ORM,Oreochromis macrochir,Longfin tilapia
ORU,Oreochromis urolepis,Wami tilapia
STA,Oreochromis andersonii,Three spotted tilapia
OEL,Oreochromis alcalicus,Magadi tilapia
OEM,Oreochromis amphimelas,
OEG,Oreochromis angolensis,
OEU,Oreochromis chungruruensis,
OES,Oreochromis esculentus,
OEH,Oreochromis hunteri,
OEJ,Oreochromis jipe,
OER,Oreochromis karomo,Karomo
OEO,Oreochromis karongae,
OEW,Oreochromis korogwe,
OEP,Oreochromis lepidurus,
OET,Oreochromis leucostictus,
OEI,Oreochromis lidole,
OCI,Oreochromis malagarasi,
OHO,Oreochromis mortimeri,Kariba tilapia
OHI,Oreochromis pangani,
OHU,Oreochromis placidus,Black tilapia
OHW,Oreochromis rukwaensis,
OHK,Oreochromis saka,
OIS,Oreochromis salinicola,
OIW,Oreochromis schwebischi,
OIH,Oreochromis shiranus,
OIQ,Oreochromis squamipinnis,
OIT,Oreochromis tanganicae,
OIP,Oreochromis upembae,
OEV,Oreochromis variabilis,
TLP,Oreochromis (=Tilapia) spp,Tilapias nei
SAR,Sarotherodon galilaeus,Mango tilapia
SAH,Sarotherodon melanotheron,Blackchin tilapia
IHE,Cichlasoma beani,Green guapote
IHI,Cichlasoma bimaculatum,Black acara
IHF,Cichlasoma facetum,Chameleon cichlid
IHS,Cichlasoma istlanum,
IHY,Cichlasoma cyanoguttatum,Rio Grande cichlid
CHL,Cichlasoma managuense,Jaguar guapote
CHK,Cichlasoma maculicauda,Blackbelt cichlid
CHH,Cichlasoma urophthalmus,Mexican mojarra
IHN,Cichlasoma nigrofasciatum,Convict cichlid
IHC,Cichlasoma octofasciatum,Jack Dempsey
CHX,Cichlasoma spp,Cichlasoma nei
CLO,Cichla ocellaris,Peacock cichlid
IHT,Cichla temensis,Speckled pavon
DMJ,Docimodus johnstoni,
TLZ,Tilapia zillii,Redbelly tilapia
TLS,Tilapia sparrmanii,Banded tilapia
TLR,Tilapia rendalli,Redbreast tilapia
TLG,Tilapia guineensis,Guinean tilapia
TPB,Tilapia bakossiorum,
TPO,Tilapia baloni,
TPI,Tilapia bemini,
TIB,Tilapia bilineata,
TIV,Tilapia brevimanus,
TIM,Tilapia busumana,
TII,Tilapia buttikoferi,
TPY,Tilapia bythobates,
TIR,Tilapia cabrae,
TAM,Tilapia cameronensis,
TJC,Tilapia camerunensis,
TJE,Tilapia cessiana,
TJF,Tilapia coffea,
TJG,Tilapia congica,
TJD,Tilapia dageti,
TJK,Tilapia deckerti,
TJI,Tilapia discolor,
TJV,Tilapia flava,
TJU,Tilapia guinasana,Otjikoto tilapia
TJT,Tilapia gutturosa,
TJM,Tilapia imbriferna,
TJJ,Tilapia joka,
TJA,Tilapia kottae,
TJL,Tilapia louka,
TJR,Tilapia margaritacea,
TJP,Tilapia mariae,Spotted tilapia
TJN,Tilapia nyongana,
TJH,Tilapia rheophila,
TJW,Tilapia ruweti,Okavango tilapia
TJY,Tilapia snyderae,
TJS,Tilapia spongotroktis,
TIJ,Tilapia tholloni,
TLH,Tilapia thysi,
TLW,Tilapia walteri,
EMF,Eclectochromis festivus,
EDD,Ectodus descampsii,
EOB,Enantiopus albini,
ETY,Eretmodus cyanostictus,
EXA,Exochochromis anagenys,Threespot torpedo
FSR,Fossorochromis rostratus,
GFL,Gephyrochromis lawsi,
GNX,Gnathochromis permaxillaris,
GOW,Gobiocichla ethelwynnae,
GRJ,Grammatotria lemairii,
GWB,Greenwoodochromis bellcrossi,
GUE,Guianacara oelemariensis,
GMZ,Gymnogeophagus balzanii,Argentine humphead
HXI,Haplotaxodon microlepis,
HBS,Hemibates stenosoma,
HJU,Hemitaeniochromis urotaenia,
HEX,Hemitilapia oxyrhyncha,Giant Haplochromis
HRP,Heros appendiculatus,
HRT,Herotilapia multispinosa,Rainbow cichlid
HRI,Heterochromis multidens,
HOJ,Hoplarchus psittacus,
HTD,Hoplotilapia retrodens,
HSN,Hypselecara coryphaenoides,
HSG,Hypsophrys nicaraguensis,Moga
IDP,Iodotropheus sprengerae,Lavender mbuna
IRH,Iranocichla hormuzensis,
KOD,Konia dikume,Dikume
KOG,Krobia guianensis,
LTV,Laetacara flavilabris,
LIE,Lepidiolamprologus attenuatus,
LTX,Lestradea perspicax,
LNU,Lethrinops albus,
LNC,Lichnochromis acuticeps,Malawi gar
LIV,Limbochromis cavalliensis,
LNE,Limnochromis abeelei,
MLI,Macropleurodus bicolor,
MVF,Maravichromis formosus,
MOV,Mesonauta festivus,Flag cichlid
MIZ,Microchromis zebroides,
MHR,Microdontochromis rotundiventralis,
MFR,Microgeophagus ramirezi,Ram cichlid
MKY,Myaka myaka,Myaka
NVC,Naevochromis chrysogaster,
NCS,Nanochromis consortus,
NRN,Neetroplus nematopus,
NRU,Neolamprologus boulengeri,
NMV,Nimbochromis fuscotaeniatus,Fuscotaeniatus
NYB,Nyassachromis breviceps,
OFB,Ophthalmotilapia boops,
OFG,Otopharynx argyrosoma,
OXO,Oxylapia polli,
RCB,Paracyprichromis brieni,
RIV,Paralabidochromis victoriae,
RNC,Parananochromis caudifasciatus,
RTN,Paratilapia polleni,
RRD,Paretroplus damii,
ELK,Pelmatochromis buettikoferi,
EVH,Pelvicachromis humilis,
RLJ,Crenicichla johanna,
RLX,Crenicichla saxatilis,Ringtail pike cichlid
RLT,Crenicichla alta,
RLD,Crenicichla lepidota,Pike cichlid
ERI,Perissodus eccentricus,
ETD,Petenia splendida,
YFF,Cyphotilapia frontosa,Humphead cichlid
HNL,Pharyngochromis darlingi,
LSR,Placidochromis electra,Deep-water hap
LNN,Platygnathochromis melanonotus,Haplochromis yellow black line
TDN,Platytaeniodus degeni,
PCV,Plecodus elaviae,
RTS,Protomelas annectens,
UCN,Pseudocrenilabrus nicholsi,
USV,Pseudosimochromis curvifrons,
GFA,Geophagus brasiliensis,Pearl cichlid
LNR,Limnotilapia dardennii,
XEH,Xenochromis hecqui,
ECY,Petrochromis polyodon,
XTB,Xenotilapia bathyphila,
HJB,Hemichromis bimaculatus,Jewelfish
HJF,Hemichromis fasciatus,Banded jewelfish
ERC,Etroplus maculatus,Orange chromide
ETS,Etroplus suratensis,Pearlspot
TOC,Astronotus ocellatus,Oscar
AST,Astronotus spp,Velvety cichlids
UNM,Pungu maclareni,
BHX,Bathybates ferox,
HCK,Haplochromis acidens,
HID,Haplochromis desfontainii,
HIR,Haplochromis burtoni,
HRY,Haplochromis nyererei,
CIM,Haplochromis spp,Mouthbrooding cichlids
LLC,Lamprologus callipterus,
LHJ,Lobochilotes labiatus,
RRC,Reganochromis calliurus,
REF,Retroculus lapidifera,
TCH,Ptychochromis oligacanthus,
AER,Aequidens rivulatus,Green terror
AQP,Aequidens portalegrensis,
AQU,Aequidens pulchrus,Blue acara
UDE,Pseudotropheus ater,
UDR,Pseudotropheus aurora,
UDL,Pseudotropheus callainos,
UDO,Pseudotropheus elongatus,Elongate mbuna
UFF,Pseudotropheus tropheops,
UFZ,Pseudotropheus zebra,Zebra mbuna
TCJ,Pterochromis congicus,
EIG,Petrotilapia genalutea,
MJT,Melanochromis auratus,Golden mbuna
MJH,Melanochromis johannii,Bluegray mbuna
LHE,Labidochromis caeruleus,Blue streak hap
LFE,Labeotropheus fuelleborni,Blue mbuna
GCN,Genyochromis mento,
YAO,Cyathochromis obliquidens,
YMQ,Symphysodon aequifasciata,Blue discus
TFU,Pterophyllum altum,
AIK,Acarichthys heckelii,Threadfin acara
AAV,Acaronia vultuosa,
RCJ,Astatoreochromis alluaudi,
TMI,Tylochromis aristoma,
TME,Tyrannochromis macrostoma,
TPP,Satanoperca acuticeps,Sharphead eartheater
SZD,Schubotzia eduardiana,
SWN,Schwetzochromis neodon,
SJI,Sciaenochromis ahli,Electric blue hap
HTV,Chetia flaviventris,Canary kurper
JUD,Julidochromis dickfeldi,
TMV,Tramitichromis brevis,
TMC,Trematocara caparti,
TMS,Trematochromis schreyeni,
TML,Trematocranus labifer,
TCM,Triglachromis otostigma,
TMR,Tristramella sacra,
TFN,Tropheus annectens,
UAA,Uaru amphiacanthoides,Uaru
RKA,Serranochromis angusticeps,Thinface cichlid
YBB,Serranochromis robustus,Yellow-belly bream
RRI,Crenicara filamentosa,Chessboard cichlid
ICT,Simochromis babaulti,
TDY,Spathodus erythrodon,
TSS,Steatocranus casuarius,Lionhead cichlid
TGO,Stigmatochromis modestus,
TMM,Stomatepia mariae,Nsess
TCD,Taeniacara candidi,
TAH,Taeniochromis holotaenia,
TIY,Taeniolethrinops cyrtonotus,
TAZ,Tahuantinsuyoa macantzatza,
TAD,Tangachromis dhanisi,
TAJ,Tanganicodus irsacae,Spotfin goby cichlid
TLC,Teleogramma brichardi,
TLF,Telmatochromis bifrenatus,
TLT,Telotrematocara macrostoma,
YCN,Thysochromis annectens,
NCN,Nannacara anomala,Goldeneye cichlid
ARZ,Apistogramma agassizii,
GAF,Apistogramma trifasciata,
RFB,Rhamphochromis brevis,
CIX,Cichlidae,Cichlids nei
ACV,Acanthocepola abbreviata,Bandfish
OWG,Owstonia grammodon,
DOA,Pseudocepola taeniosoma,
CBC,Cepola macrophthalma,Red bandfish
BFE,Brachyistius frenatus,Kelp perch
HUA,Hypsurus caryi,Rainbow seaperch
MJU,Micrometrus aurora,Reef perch
FRU,Phanerodon furcatus,White seaperch
ZAR,Zalembius rosaceus,Pink seaperch
EBJ,Embiotoca jacksoni,Black perch
HSK,Hysterocarpus traski,Russian river tule perch
YGG,Cymatogaster aggregata,Shiner perch
DMV,Ditrema viridis,
MFA,Amphistichus argenteus,Barred surfperch
HRE,Hyperprosopon anale,Spotfin surfperch
RCX,Rhacochilus toxotes,Rubberlip seaperch
NDA,Neoditrema ransonneti,
AIL,Acanthochromis polyacanthus,Spiny chromis
ADH,Amblyglyphidodon aureus,Golden damselfish
AYJ,Amblypomacentrus breviceps,Black-banded demoiselle
AZE,Azurina eupalama,Galapagos damsel
LNT,Cheiloprion labiatus,Big-lip damsel
HRK,Chrysiptera biocellata,Twinspot damselfish
HSJ,Chrysiptera caeruleolineata,Blueline demoiselle
YSR,Chrysiptera rapanui,Easter damselfish
DIK,Dischistodus chrysopoecilus,White-spot damsel
HGP,Hemiglyphidodon plagiometopon,Lagoon damselfish
MHM,Mecaenichthys immaculatus,Immaculate damsel
MDB,Microspathodon bairdii,Bumphead damselfish
NDB,Neoglyphidodon bonang,Ocellated damsel
NPZ,Neopomacentrus azysron,Yellowtail demoiselle
NXF,Nexilosus latifrons,Coquito sergeant
PKD,Parma kermadecensis,Kermadec scalyfin
LGK,Plectroglyphidodon dickii,Blackbar devil
OHJ,Pomachromis fuscidorsalis,Tahitian reef-damsel
EMB,Premnas biaculeatus,Spinecheek anemonefish
PJD,Pristotis jerdoni,Gulf damselfish
CMK,Chromis chromis,Damselfish
HUR,Chromis crusma,Valparaiso chromis
HRC,Chromis intercrusma,Peruvian chromis
HRJ,Chromis punctipinnis,Blacksmith
HSS,Chromis analis,Yellow chromis
SJM,Similiparma hermani,Cape damsel
TEK,Stegastes apicalis,Australian gregory
TGD,Stegastes dorsopunicans,Dusky damselfish
TAF,Stegastes fasciolatus,Pacific gregory
TGE,Stegastes leucostictus,Beaugregory
TXO,Teixeirichthys jordani,Jordan's damsel
ABU,Abudefduf saxatilis,Sergeant-major
AUU,Abudefduf luridus,Canary damsel
HOD,Hypsypops rubicundus,Garibaldi damselfish
DAA,Dascyllus albisella,Hawaiian dascyllus
DAU,Dascyllus aruanus,Whitetail dascyllus
PCZ,Pomacentrus agassizi,Creole damsel
OMK,Pomacentrus bankanensis,Speckled damselfish
AFP,Amphiprion akallopisos,Skunk clownfish
AFY,Amphiprion akindynos,Barrier reef anemonefish
LZA,Lepidozygus tapeinosoma,Fusilier damselfish
AKL,Acantholabrus palloni,Scale-rayed wrasse
AKG,Achoerodus gouldii,Western blue groper
NCT,Anchichoerops natalensis,Natal wrasse
USA,Austrolabrus maculatus,
USB,Labrus bergylta,Ballan wrasse
USI,Labrus bimaculatus,Cuckoo wrasse
WRM,Labrus merula,Brown wrasse
ILN,Cheilio inermis,Cigar wrasse
CJE,Cirrhilabrus balteatus,Girdled wrasse
CXQ,Cirrhilabrus exquisitus,Exquisite wrasse
USP,Clepticus parrae,Creole wrasse
NLP,Conniella apterygia,Mutant wrasse
YML,Cymolutes lecluse,Sharp-headed wrasse
DCN,Decodon grandisquamis,Largescale wrasse
DRX,Diproctacanthus xanthurus,Yellowtail tubelip
DRE,Doratonotus megalepis,Dwarf wrasse
DTL,Dotalabrus alleni,
EBI,Epibulus insidiator,Sling-jaw wrasse
EYN,Eupetrichthys angustipes,
FRE,Frontilabrus caeruleus,
HGN,Hologymnosus annulatus,Ring wrasse
BJU,Labrichthys unilineatus,Tubelip wrasse
RSI,Labropsis alleni,Allen's tubelip
LFA,Lappanella fasciata,
LRQ,Larabicus quadrilineatus,
JUH,Leptojulis chrysotaenia,
MFB,Macropharyngodon bipartitus,Rare wrasse
MBS,Minilabrus striatus,Minute wrasse
NBC,Notolabrus celidotus,Spotty
NVM,Novaculichthys macrolepidotus,Seagrass wrasse
OXE,Oxycheilinus arenatus,Speckled maori wrasse
RKG,Paracheilinus angulatus,Angular flasher
ICV,Pictilabrus laticlavius,
YPR,Polylepion cruentum,Bleeding wrasse
DCI,Pseudocheilinops ataenia,Pelvic-spot wrasse
DCV,Pseudocheilinus evanidus,Striated wrasse
DCF,Pseudocoris aurantiofasciatus,Rust-banded wrasse
DXM,Pseudodax moluccanus,Chiseltooth wrasse
DJV,Pseudojuloides atavai,Polynesian wrasse
TGB,Pteragogus amboinensis,
SJV,Stethojulis albovittata,Bluelined wrasse
SZQ,Suezichthys arquatus,Rainbow slender wrasse
WEA,Wetmorella albofasciata,Whitebanded sharpnose wrasse
XJM,Xenojulis margaritaceus,Finspot wrasse
XFT,Xiphocheilus typus,Blue-banded wrasse
ENX,Centrolabrus exoletus,Rock cook
COU,Coris julis,Mediterranean rainbow wrasse
RII,Coris gaimard,African coris
TBR,Ctenolabrus rupestris,Goldsinny-wrasse
XYN,Xyrichtys novacula,Pearly razorfish
NAF,Anampses geographicus,Geographic wrasse
BDR,Bodianus rufus,Spanish hogfish
BDI,Bodianus diplotaenia,Mexican hogfish
BDE,Bodianus eclancheri,Harlequin wrasse
BDT,Bodianus perditio,Golden-spot hogfish
BDQ,Bodianus axillaris,Axilspot hogfish
BDY,Bodianus spp,
HIF,Cheilinus fasciatus,Redbreasted wrasse
HUU,Cheilinus trilobatus,Tripletail wrasse
HVM,Cheilinus undulatus,Humphead wrasse
ODJ,Choerodon schoenleinii,Blackspot tuskfish
OEZ,Choerodon azurio,
OFD,Choerodon robustus,Robust tuskfish
LCX,Lachnolaimus maximus,Hogfish
OJC,Oxyjulis californica,Señorita
TAU,Tautoga onitis,Tautog
TMP,Thalassoma pavo,Ornate wrasse
CUN,Tautogolabrus adspersus,Cunner
TMF,Thalassoma bifasciatum,Bluehead
TMD,Thalassoma duperrey,Saddle wrasse
TWO,Thalassoma lunare,Moon wrasse
TWX,Thalassoma spp,
DBB,Pseudolabrus biserialis,
MFE,Semicossyphus reticulatus,
YFH,Semicossyphus pulcher,California sheephead
GFV,Gomphosus varius,Bird wrasse
HJA,Halichoeres adustus,Black wrasse
HJX,Halichoeres leucoxanthus,Canarytop wrasse
YFC,Symphodus cinereus,Grey wrasse
YFM,Symphodus melops,Corkwing wrasse
YFO,Symphodus ocellatus,
LID,Labroides dimidiatus,Bluestreak cleaner wrasse
HGF,Hemigymnus fasciatus,Barred thicklip
WRA,Labridae,"Wrasses, hogfishes, etc. nei"
HEW,Haletta semifasciata,
NXB,Neoodax balteatus,
OXP,Odax pullus,"Butterfish, greenbone"
FGA,Siphonognathus argyrophanes,
USJ,Calotomus japonicus,Japanese parrotfish
UUG,Chlorurus gibbus,Heavybeak parrotfish
UUS,Chlorurus sordidus,Daisy parrotfish
UUY,Chlorurus strongylocephalus,Steephead parrotfish
NCD,Nicholsina denticulata,Loosetooth parrotfish
RMF,Sparisoma aurofrenatum,Redband parrotfish
RSY,Sparisoma chrysopterum,Redtail parrotfish
PRR,Sparisoma cretense,Parrotfish
USU,Scarus coeruleus,Blue parrotfish
